goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_column-24        	     642	   1865817 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_column-24        	     643	   1858503 ns/op	   12933 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_column-24        	     645	   1865625 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_column-24        	     630	   1860666 ns/op	   12935 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_column-24        	     642	   1862037 ns/op	   12933 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_column-24        	     645	   1857767 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_column-24        	     637	   1862373 ns/op	   12933 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_distinct-24      	     402	   2977085 ns/op	   32178 B/op	     147 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_distinct-24      	     394	   3020719 ns/op	   32184 B/op	     147 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_distinct-24      	     394	   2998155 ns/op	   32181 B/op	     147 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_distinct-24      	     397	   3027264 ns/op	   32180 B/op	     147 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_distinct-24      	     391	   3007402 ns/op	   32182 B/op	     147 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_distinct-24      	     397	   3012274 ns/op	   32180 B/op	     147 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_distinct-24      	     394	   3033730 ns/op	   32181 B/op	     147 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_distinct-24      	     385	   3009170 ns/op	   32184 B/op	     147 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_distinct-24      	     396	   3010186 ns/op	   32180 B/op	     147 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_distinct-24      	     394	   3017937 ns/op	   32181 B/op	     147 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/sum-24                 	     530	   2272971 ns/op	   13072 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/sum-24                 	     528	   2269600 ns/op	   13071 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/sum-24                 	     526	   2261124 ns/op	   13071 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/sum-24                 	     534	   2256283 ns/op	   13072 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/sum-24                 	     529	   2254401 ns/op	   13072 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/sum-24                 	     528	   2257955 ns/op	   13075 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/sum-24                 	     530	   2276242 ns/op	   13072 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/sum-24                 	     526	   2264483 ns/op	   13073 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/sum-24                 	     530	   2254390 ns/op	   13072 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/sum-24                 	     532	   2264267 ns/op	   13072 B/op	      75 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_16x16/count_star-24           	     228	   5250172 ns/op	   38594 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_16x16/count_star-24           	     228	   5241477 ns/op	   38593 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_16x16/count_star-24           	     228	   5240107 ns/op	   38596 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_16x16/count_star-24           	     229	   5240575 ns/op	   38598 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_16x16/count_star-24           	     229	   5257526 ns/op	   38599 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_16x16/count_star-24           	     228	   5242014 ns/op	   38604 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_16x16/count_star-24           	     229	   5224051 ns/op	   38598 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_16x16/count_star-24           	     229	   5219281 ns/op	   38598 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_16x16/count_star-24           	     229	   5246879 ns/op	   38595 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_16x16/count_star-24           	     226	   5227960 ns/op	   38600 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_16x16/count_column-24         	     225	   5253827 ns/op	   38601 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_16x16/count_column-24         	     228	   5248608 ns/op	   38598 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_16x16/count_column-24         	     229	   5252092 ns/op	   38592 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/hot_key_16x16/count_column-24         	     228	   5233423 ns/op	   38598 B/op	      73 allocs/op
